Titre,URL
Déclaration TVA mensuelle relative à décembre 202520.01.2026,https://compta.webwin.be/calendar/declaration-tva-mensuelle-relative-a-decembre-2025
TVA - Relevé intracommunautaire mensuel20.01.2026,https://compta.webwin.be/calendar/tva-releve-intracommunautaire-mensuel-3
"Réduction d'impôt pour les dons : encore de 30% (auparavant : 45%).Impôts des personnes physiquesSi vous faites un don à une organisation agréée, vous pouvez, sous certaines conditions, obtenir une réduction d’impôt à l'IPP. Le don doit s’élever à au moins 40 € et vous devez disposer d’une attestation délivrée par l’organisation agréée à laquelle vous faites le don.16.01.2026",https://compta.webwin.be/newsletter-by-email/reduction-dimpot-pour-les-dons-encore-de-30-auparavant-45
"Depuis le 1er janvier 2026, l’« héritage entre amis » flamand a été remplacé par la « réduction pour célibataires »Impôts - Héritage et donationsAvec l’« héritage entre amis », vous pouviez, depuis le 1er juillet 2021 en Flandre, léguer par testament jusqu’à 15.000 € à un ou plusieurs amis ou parents plus éloignés (frères/sœurs et autres parents) à un taux réduit de 3 % au lieu de 25 %.  Ce régime a désormais disparu et a été remplacé par la réduction dite « pour célibataires », qui est uniquement destinée aux testateurs célibataires sans enfants ni petits‑enfants16.01.2026",https://compta.webwin.be/new-flashes/depuis-le-1er-janvier-2026-l-heritage-entre-amis-flamand-a-ete-remplace-par-la-reduction-pour-celibataires
"Règles plus strictes pour les droits d’enregistrement de 2 % sur votre habitation propre et unique en FlandreSi vous achetez en Flandre un logement qui est votre habitation familiale propre et unique, vous ne payez que 2 % de droits d’enregistrement, mais depuis le 1er janvier 2026, il est beaucoup plus difficile de conserver cet avantage.15.01.2026",https://compta.webwin.be/newsletter-by-email/regles-plus-strictes-pour-les-droits-denregistrement-de-2-sur-votre-habitation-propre-et-unique-en-flandre
"Titres-services à Bruxelles à partir de 2026 : qu’est-ce qui change pour vous ?Impôts des personnes physiquesDepuis le 1er janvier 2026, le système bruxellois des titres-services a été modifié. L'objectif est de mieux valoriser le travail des aides ménagères.15.01.2026",https://compta.webwin.be/new-flashes/titres-services-a-bruxelles-a-partir-de-2026-quest-ce-qui-change-pour-vous
"Indemnité kilométrique légèrement indexée depuis le 01.01.2026Impôt des sociétés, Impôts des personnes physiquesSi un dirigeant d'entreprise ou un employé effectue des déplacements professionnels avec sa propre voiture, moto ou mobylette, il peut recevoir une indemnité forfaitaire de la part, respectivement, de sa société ou de son employeur.09.01.2026",https://compta.webwin.be/new-flashes/indemnite-kilometrique-legerement-indexee-depuis-le-01012026
"La déduction des intérêts hypothécaires pour un logement qui n’est pas l’habitation propre est supprimée à partir de l’exercice d’imposition 2026Impôts des personnes physiquesDepuis l’exercice d’imposition 2026 (revenus 2025), la déduction des intérêts pour les prêts en personne physique contractés pour un bien qui n’est pas l’habitation propre a été supprimée. Il s’agit de prêts que vous avez contractés en personne physique pour l’achat ou la rénovation, par exemple, d’un logement mis en location ou d’une seconde résidence.08.01.2026",https://compta.webwin.be/newsletter-by-email/la-deduction-des-interets-hypothecaires-pour-un-logement-qui-nest-pas-lhabitation-propre-est-supprimee-a-partir-de-lexercice-dimposition-2026
"Taux réduit de TVA de 6% pour les pompes à chaleur (à compter du 1er janvier 2026)Impôts - TVAJusqu’à fin 2024, le taux de TVA réduit de 6 % pouvait être appliqué à l’installation de pompes à chaleur dans des logements privés de moins de 10 ans. Ce régime a désormais été réintroduit depuis le 01.01.2026 et ce pour une période de 5 ans.08.01.2026",https://compta.webwin.be/newsletter-by-email/taux-reduit-de-tva-de-6-pour-les-pompes-a-chaleur-a-compter-du-1er-janvier-2026
"Il se peut que vos versements anticipés ne soient pas visibles sur MyMinfinImpôt des sociétés, Impôts des personnes physiquesLe SPF Finances a fait savoir que  certains versements anticipés ne sont temporairement pas visibles sur MyMinfin.07.01.2026",https://compta.webwin.be/new-flashes/il-se-peut-que-vos-versements-anticipes-ne-soient-pas-visibles-sur-myminfin
